Profit Ratio,City,Customer ID,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Postal Code,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Quantity ordered new,Region (group),Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State or Province,Unit Price
0.69,San Jose,6,Dwight Hwang,Home Office,0.1,1,2012-12-29,90200,Critical,95123,0.55,Technology,Wrap Bag,Accessory34,Telephones and Communication,1176.5052,24,West,West,24565,1705.08,2012-12-31,Regular Air,0.99,California,85.99
0.313341060,Fall River,7,Leon Gill,Home Office,0.05,1,2012-10-30,90198,High,02724,0.38,Office Supplies,Small Box,Xerox 1933,Paper,72.9928,19,East & South,East,21866,232.95,2012-10-31,Regular Air,4.86,Massachusetts,12.28
-0.225013112,Bedford,8,Melanie Garner,Home Office,0.08,1,2012-12-25,90199,Medium,03110,0.77,Furniture,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-158.74,5,East & South,East,20876,705.47,2012-12-26,Delivery Truck,36.09,New Hampshire,140.98
-0.193178952,Camden,9,Lorraine Houston,Home Office,0.1,1,2012-12-25,90199,Medium,08101,0.78,Furniture,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,Tables,-346.6151975,8,East & South,East,20877,1794.27,2012-12-27,Delivery Truck,61.76,New Jersey,286.85
0.69,Pennsauken,10,Meredith Norris Thomas,Home Office,0.06,1,2011-10-04,90195,Critical,08109,0.38,Office Supplies,Small Box,Park Ridge™ Embossed Executive Business Envelopes,Envelopes,142.7955,14,East & South,East,22241,206.95,2011-10-05,Regular Air,1.39,New Jersey,15.57
-0.254840635,Roselle,11,Marcus Dunlap,Home Office,0.06,1,2010-08-15,90192,Critical,07203,0.45,Furniture,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Office Furnishings,-53.8096,22,East & South,East,21776,211.15,2010-08-17,Regular Air,7.29,New Jersey,9.48
0.255780507,Cranston,12,Kara Pace,Home Office,0.04,1,2012-02-24,90196,High,02907,0.57,Office Supplies,Small Pack,Fiskars® Softgrip Scissors,"Scissors, Rulers and Trimmers",23.12,8,East & South,East,23328,90.39,2012-02-26,Regular Air,3.37,Rhode Island,10.98
0.69,Prior Lake,14,Gwendolyn F Tyson,Small Business,0.09,1,2010-05-12,86838,Medium,55372,0.43,Furniture,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Office Furnishings,803.4705,16,Central,Central,24844,1164.45,2010-05-14,Regular Air,19.99,Minnesota,78.69
-1.080971660,Prior Lake,14,Gwendolyn F Tyson,Small Business,0.08,1,2010-05-12,86838,Medium,55372,0.56,Office Supplies,Wrap Bag,Newell 321,Pens & Art Supplies,-24.03,7,Central,Central,24846,22.23,2010-05-13,Regular Air,2.31,Minnesota,3.28
-2.646890636,Prior Lake,14,Gwendolyn F Tyson,Small Business,0.05,1,2010-05-12,86838,Medium,55372,0.56,Office Supplies,Wrap Bag,Newell 351,Pens & Art Supplies,-37.03,4,Central,Central,24847,13.99,2010-05-13,Regular Air,4.2,Minnesota,3.28
-0.049789621,Prior Lake,14,Gwendolyn F Tyson,Small Business,0.05,1,2010-05-12,86838,Medium,55372,0.36,Office Supplies,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",Rubber Bands,-0.71,4,Central,Central,24848,14.26,2010-05-13,Regular Air,1.63,Minnesota,3.58
-1.507275804,Prior Lake,14,Gwendolyn F Tyson,Small Business,0.01,1,2013-05-12,86845,Medium,55372,0.37,Office Supplies,Small Box,Xerox 213,Paper,-44.54,4,Central,Central,24845,29.55,2013-05-13,Regular Air,7.86,Minnesota,6.48
-1.787272184,Smithtown,15,Timothy Reese,Small Business,0,1,2010-04-08,86837,Critical,11787,0.38,Office Supplies,Small Box,Grip Seal Envelopes,Envelopes,-59.82,7,East & South,East,18181,33.47,2010-04-09,Regular Air,4.99,New York,4.42
0.69,Smithtown,15,Timothy Reese,Small Business,0.01,1,2010-05-28,86839,Medium,11787,0.4,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Envelopes,261.8757,10,East & South,East,20925,379.53,2010-05-28,Regular Air,6.66,New York,35.94
-0.067280046,Smithtown,15,Timothy Reese,Small Business,0.03,1,2011-12-04,86840,Medium,11787,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-1.17,10,East & South,East,18263,17.39,2011-12-06,Regular Air,0.7,New York,1.76
-1.262079832,Smithtown,15,Timothy Reese,Small Business,0.04,1,2012-04-29,86841,Medium,11787,0.36,Office Supplies,Small Box,Xerox 1992,Paper,-24.03,3,East & South,East,18554,19.04,2012-05-01,Regular Air,5.2,New York,5.98
0.69,Smithtown,15,Timothy Reese,Small Business,0,1,2013-01-19,86842,Low,11787,0.42,Furniture,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,23.2668,4,East & South,East,22781,33.72,2013-01-21,Regular Air,4,New York,7.59
-4.564421163,Smithtown,15,Timothy Reese,Small Business,0.07,1,2013-01-21,86843,Low,11787,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-174.2696,9,East & South,East,23287,38.18,2013-01-23,Regular Air,6.89,New York,4.13
0.139893617,Syracuse,16,Sarah Ramsey,Small Business,0.04,1,2010-02-12,86836,High,13210,0.39,Office Supplies,Wrap Bag,Staples Gold Paper Clips,Rubber Bands,2.63,6,East & South,East,26267,18.8,2010-02-15,Regular Air,1.58,New York,2.98
0.69,Syracuse,16,Sarah Ramsey,Small Business,0.05,1,2010-02-12,86836,High,13210,0.55,Technology,Small Box,StarTAC 7797,Telephones and Communication,652.7331,10,East & South,East,26268,945.99,2010-02-14,Regular Air,2.5,New York,115.99
0.075866228,Syracuse,16,Sarah Ramsey,Small Business,0.08,1,2013-02-12,86844,High,13210,0.38,Office Supplies,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders and Binder Accessories,3.4595,3,East & South,East,26266,45.6,2013-02-15,Express Air,7.27,New York,14.27
-0.559934319,Great Falls,17,Florence Hsu Schwarz,Small Business,0.05,1,2011-04-20,90033,Low,59405,0.56,Office Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,-6.82,2,West,West,19359,12.18,2011-04-24,Regular Air,2.27,Montana,5.85
-2.772086331,Great Falls,17,Florence Hsu Schwarz,Small Business,0.05,1,2012-04-06,90034,Critical,59405,0.58,Office Supplies,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Appliances,-96.33,4,West,West,20459,34.75,2012-04-08,Express Air,9.23,Montana,7.77
0.69,Helena,18,Laurie Hanna,Small Business,0.05,1,2010-05-15,90031,High,59601,0.49,Furniture,Small Box,DAX Natural Wood-Tone Poster Frame,Office Furnishings,314.4813,17,West,West,23890,455.77,2010-05-16,Regular Air,6.93,Montana,26.48
0.69,Helena,18,Laurie Hanna,Small Business,0.08,1,2012-05-15,90035,Critical,59601,0.56,Office Supplies,Small Box,Belkin F9M820V08 8 Outlet Surge,Appliances,446.0781,15,West,West,21763,646.49,2012-05-16,Express Air,4.62,Montana,42.98
-1.543895847,Helena,18,Laurie Hanna,Small Business,0.07,1,2012-05-15,90035,Critical,59601,0.4,Office Supplies,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders and Binder Accessories,-117.1045,9,West,West,21764,75.85,2012-05-15,Express Air,8.94,Montana,8.04
-0.266250571,Helena,18,Laurie Hanna,Small Business,0.08,1,2013-05-21,90038,Not Specified,59601,0.37,Office Supplies,Wrap Bag,Advantus Plastic Paper Clips,Rubber Bands,-17.49,13,West,West,24062,65.69,2013-05-22,Regular Air,3.39,Montana,5
0.049034718,Helena,18,Laurie Hanna,Small Business,0.02,1,2013-10-02,90039,Low,59601,0.71,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,126.31,22,West,West,20578,2575.93,2013-10-04,Delivery Truck,30,Montana,110.98
0.69,Helena,18,Laurie Hanna,Small Business,0.01,1,2013-10-02,90039,Low,59601,0.38,Office Supplies,Small Box,Avery 485,Labels,152.7867,17,West,West,20579,221.43,2013-10-04,Regular Air,0.5,Montana,12.53
-0.494585185,Missoula,19,Jim Rodgers,Small Business,0.07,1,2010-05-21,90032,Not Specified,59801,0.39,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,Office Machines,-114.6399,18,West,West,24063,231.79,2010-05-23,Regular Air,9.44,Montana,12.99
-1.158898543,Bellevue,20,Marion Nolan Kaplan,Small Business,0.06,1,2012-05-31,90036,Not Specified,68005,0.8,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,Storage & Organization,-929.68,13,Central,Central,25082,802.21,2012-06-02,Express Air,35,Nebraska,64.65
-2.197058824,Bellevue,20,Marion Nolan Kaplan,Small Business,0,1,2012-05-31,90036,Not Specified,68005,0.76,Furniture,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,Tables,-53.784,1,Central,Central,25083,24.48,2012-06-01,Delivery Truck,27.75,Nebraska,15.23
-0.842975207,Bellevue,20,Marion Nolan Kaplan,Small Business,0,1,2013-03-07,90037,Medium,68005,0.4,Office Supplies,Small Box,Xerox 197,Paper,-41.82,1,Central,Central,25711,49.61,2013-03-08,Regular Air,17.08,Nebraska,30.98
0.204818057,New York City,21,Tony Wilkins Winters,Small Business,0.05,1,2010-05-15,41793,High,10012,0.49,Furniture,Small Box,DAX Natural Wood-Tone Poster Frame,Office Furnishings,384.38,70,East & South,East,5890,1876.69,2010-05-16,Regular Air,6.93,New York,26.48
-0.059680611,New York City,21,Tony Wilkins Winters,Small Business,0.08,1,2010-05-21,42949,Not Specified,10012,0.37,Office Supplies,Wrap Bag,Advantus Plastic Paper Clips,Rubber Bands,-17.49,58,East & South,East,6062,293.06,2010-05-22,Regular Air,3.39,New York,5
-0.125386803,New York City,21,Tony Wilkins Winters,Small Business,0.07,1,2010-05-21,42949,Not Specified,10012,0.39,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,Office Machines,-114.6399,71,East & South,East,6063,914.29,2010-05-23,Regular Air,9.44,New York,12.99
-0.842975207,New York City,21,Tony Wilkins Winters,Small Business,0,1,2011-03-07,55269,Medium,10012,0.4,Office Supplies,Small Box,Xerox 197,Paper,-41.82,1,East & South,East,7711,49.61,2011-03-08,Regular Air,17.08,New York,30.98
-0.124475269,New York City,21,Tony Wilkins Winters,Small Business,0.05,1,2011-04-20,9895,Low,10012,0.56,Office Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,-6.82,9,East & South,East,1359,54.79,2011-04-24,Regular Air,2.27,New York,5.85
-0.615999488,New York City,21,Tony Wilkins Winters,Small Business,0.05,1,2012-04-06,17860,Critical,10012,0.58,Office Supplies,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Appliances,-96.33,18,East & South,East,2459,156.38,2012-04-08,Express Air,9.23,New York,7.77
0.178521019,New York City,21,Tony Wilkins Winters,Small Business,0.08,1,2012-05-15,26887,Critical,10012,0.56,Office Supplies,Small Box,Belkin F9M820V08 8 Outlet Surge,Appliances,461.65,60,East & South,East,3763,2585.97,2012-05-16,Express Air,4.62,New York,42.98
-0.385973962,New York City,21,Tony Wilkins Winters,Small Business,0.07,1,2012-05-15,26887,Critical,10012,0.4,Office Supplies,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders and Binder Accessories,-117.1045,36,East & South,East,3764,303.4,2012-05-15,Express Air,8.94,New York,8.04
-0.301314898,New York City,21,Tony Wilkins Winters,Small Business,0.06,1,2012-05-31,50533,Not Specified,10012,0.8,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,Storage & Organization,-929.68,50,East & South,East,7082,3085.41,2012-06-02,Express Air,35,New York,64.65
-0.439411765,New York City,21,Tony Wilkins Winters,Small Business,0,1,2012-05-31,50533,Not Specified,10012,0.76,Furniture,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,Tables,-53.784,5,East & South,East,7083,122.4,2012-06-01,Delivery Truck,27.75,New York,15.23
0.012258667,New York City,21,Tony Wilkins Winters,Small Business,0.02,1,2013-10-02,18596,Low,10012,0.71,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,126.31,88,East & South,East,2578,10303.73,2013-10-04,Delivery Truck,30,New York,110.98
0.255970115,New York City,21,Tony Wilkins Winters,Small Business,0.01,1,2013-10-02,18596,Low,10012,0.38,Office Supplies,Small Box,Avery 485,Labels,223.38,67,East & South,East,2579,872.68,2013-10-04,Regular Air,0.5,New York,12.53
0.547976812,Laguna Hills,23,Lynn Moss,Corporate,0.05,1,2011-11-11,87655,High,92653,0.49,Furniture,Small Pack,Nu-Dell Leatherette Frames,Office Furnishings,284.526,36,West,West,19249,519.23,2011-11-12,Regular Air,5,California,14.34
0.69,Laguna Hills,23,Lynn Moss,Corporate,0,1,2011-11-11,87655,High,92653,0.4,Office Supplies,Small Box,Xerox 1979,Paper,859.2639,37,West,West,19250,1245.31,2011-11-12,Regular Air,8.74,California,30.98
0.504148749,Laguna Hills,23,Lynn Moss,Corporate,0.07,1,2012-09-10,87660,Not Specified,92653,0.39,Office Supplies,Small Box,Xerox 1929,Paper,83.24,7,West,West,18350,165.11,2012-09-13,Express Air,5.47,California,22.84
0.222259180,Laguna Hills,23,Lynn Moss,Corporate,0.1,1,2013-11-18,87669,Low,92653,0.71,Furniture,Jumbo Box,BPI Conference Tables,Tables,353.77216,11,West,West,18478,1591.71,2013-11-25,Delivery Truck,80.2,California,146.05
-0.419273967,Laguna Niguel,24,Edna Thomas,Corporate,0.06,1,2010-01-28,87651,High,92677,0.37,Office Supplies,Small Box,Xerox 194,Paper,-28.2968,1,West,West,20631,67.49,2010-01-29,Regular Air,14.3,California,55.48
-2.358755556,Laguna Niguel,24,Edna Thomas,Corporate,0.02,1,2010-01-28,87651,High,92677,0.59,Office Supplies,Wrap Bag,Newell 323,Pens & Art Supplies,-5.3072,1,West,West,20632,2.25,2010-01-30,Regular Air,1.57,California,1.68
0.69,Laguna Niguel,24,Edna Thomas,Corporate,0.07,1,2012-03-02,87656,Not Specified,92677,0.59,Technology,Small Box,V70,Telephones and Communication,1489.8411,13,West,West,20309,2159.19,2012-03-04,Regular Air,2.5,California,205.99
-0.220917068,Laguna Niguel,24,Edna Thomas,Corporate,0.06,1,2012-12-19,87662,High,92677,0.59,Office Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,-23.415,5,West,West,20625,105.99,2012-12-20,Regular Air,8.99,California,21.38
-0.981419182,Laguna Niguel,24,Edna Thomas,Corporate,0.07,1,2013-01-13,87663,Critical,92677,0.5,Office Supplies,Medium Box,Harmony HEPA Quiet Air Purifiers,Appliances,-88.102,8,West,West,21196,89.77,2013-01-14,Regular Air,6.96,California,11.7
-3.810393258,Lake Elsinore,25,Virginia Hardison,Corporate,0.02,1,2012-04-18,87657,High,92530,0.68,Technology,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,-27.13,1,West,West,21253,7.12,2012-04-20,Regular Air,3.85,California,5.98
-1.354673496,Lake Elsinore,25,Virginia Hardison,Corporate,0.05,1,2012-04-18,87657,High,92530,0.36,Office Supplies,Small Box,Xerox 1992,Paper,-10.58,1,West,West,21254,7.81,2012-04-20,Regular Air,5.2,California,5.98
0.495690157,Lake Elsinore,25,Virginia Hardison,Corporate,0.06,1,2013-07-02,87666,Critical,92530,0.5,Office Supplies,Medium Box,3M Office Air Cleaner,Appliances,86.51776,7,West,West,21251,174.54,2013-07-04,Regular Air,5.37,California,25.98
0.69,Lake Elsinore,25,Virginia Hardison,Corporate,0.05,1,2013-07-02,87666,Critical,92530,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1268.4891,12,West,West,21252,1838.39,2013-07-04,Regular Air,7.07,California,155.06
0.679949608,Lake Forest,26,Marguerite Kane,Corporate,0.08,1,2012-06-27,87658,Medium,92630,0.57,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,420.984,11,West,West,22410,619.14,2012-06-29,Regular Air,3.99,California,59.98
0.69,Lake Forest,26,Marguerite Kane,Corporate,0,1,2013-09-02,87667,Not Specified,92630,0.38,Office Supplies,Small Box,Avery 498,Labels,19.4097,7,West,West,22737,28.13,2013-09-03,Express Air,0.5,California,2.89
0.69,Lake Forest,26,Marguerite Kane,Corporate,0.09,1,2013-12-11,87670,High,92630,0.38,Office Supplies,Small Box,Avery 52,Labels,37.3704,15,West,West,21292,54.16,2013-12-12,Regular Air,0.5,California,3.69
-0.501592266,Lake Forest,26,Marguerite Kane,Corporate,0.06,1,2013-12-11,87670,High,92630,0.58,Technology,Small Box,V 3600 Series,Telephones and Communication,-85.606752,3,West,West,21293,170.67,2013-12-12,Regular Air,8.99,California,65.99
0.162358525,Lakewood,27,Guy Gallagher,Corporate,0.04,1,2010-11-02,87652,Not Specified,90712,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,8.894000000,12,West,West,23967,54.78,2010-11-04,Regular Air,6.6,California,4.14
-0.329871588,Lakewood,27,Guy Gallagher,Corporate,0.1,1,2012-07-12,87659,Low,90712,0.38,Office Supplies,Small Box,Xerox 1880,Paper,-47.01,4,West,West,23535,142.51,2012-07-14,Regular Air,19.99,California,35.44
0.69,Lakewood,27,Guy Gallagher,Corporate,0.06,1,2012-07-12,87659,Low,90712,0.37,Office Supplies,Small Box,Xerox 194,Paper,346.7043,9,West,West,23536,502.47,2012-07-17,Regular Air,14.3,California,55.48
-0.837201936,Lakewood,27,Guy Gallagher,Corporate,0,1,2012-10-26,87661,Critical,90712,0.49,Furniture,Small Box,"6"" Cubicle Wall Clock, Black",Office Furnishings,-171.2664,23,West,West,23505,204.57,2012-10-26,Express Air,7.96,California,8.09
0.207401154,Lakewood,27,Guy Gallagher,Corporate,0.06,1,2012-10-26,87661,Critical,90712,0.46,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,33.4144,11,West,West,23506,161.11,2012-10-28,Regular Air,5.3,California,14.2
0.490129542,Lakewood,27,Guy Gallagher,Corporate,0.01,1,2013-11-02,87668,Not Specified,90712,0.59,Technology,Small Box,SC-3160,Telephones and Communication,847.943712,29,West,West,23968,1730.04,2013-11-04,Regular Air,8.99,California,65.99
-0.647272727,Lancaster,28,Ronnie McNamara,Corporate,0.06,1,2011-01-22,87653,High,93534,0.56,Office Supplies,Wrap Bag,Newell 346,Pens & Art Supplies,-2.2072,1,West,West,24987,3.41,2011-01-23,Regular Air,0.7,California,2.88
0.127460957,Lancaster,28,Ronnie McNamara,Corporate,0.07,1,2013-04-14,87665,Critical,93534,0.42,Office Supplies,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Appliances,28.81,1,West,West,24074,226.03,2013-04-16,Regular Air,11.79,California,225.04
-0.734448751,Lawndale,29,Elizabeth Walker,Corporate,0.08,1,2011-01-30,87654,Not Specified,90260,0.55,Technology,Small Box,StarTAC Series,Telephones and Communication,-120.52304,3,West,West,25324,164.1,2011-02-01,Regular Air,3.9,California,65.99
-0.438025974,Lawndale,29,Elizabeth Walker,Corporate,0.08,1,2013-01-30,87664,Not Specified,90260,0.37,Office Supplies,Small Box,Avery 481,Labels,-1.6864,1,West,West,25323,3.85,2013-01-31,Regular Air,0.99,California,3.08
-0.435231016,Eugene,31,Alice Capps,Corporate,0.01,1,2012-08-11,89206,High,97405,0.36,Office Supplies,Small Box,Xerox 1966,Paper,-43.3316,15,West,West,18877,99.56,2012-08-13,Regular Air,6.65,Oregon,6.48
0.340703589,Grants Pass,32,Matthew Berman,Corporate,0.08,1,2010-02-22,89199,High,97526,0.59,Office Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,Pens & Art Supplies,144.69,13,West,West,23509,424.68,2010-02-23,Regular Air,7.73,Oregon,34.99
-0.893174010,Grants Pass,32,Matthew Berman,Corporate,0.01,1,2010-03-27,89200,High,97526,0.4,Technology,Medium Box,Canon P1-DHIII Palm Printing Calculator,Office Machines,-35.8788,2,West,West,23612,40.17,2010-03-28,Regular Air,8.51,Oregon,17.98
0.268007147,Grants Pass,32,Matthew Berman,Corporate,0.09,1,2010-07-20,89202,Medium,97526,0.59,Technology,Small Box,StarTAC 3000,Telephones and Communication,209.997,8,West,West,23278,783.55,2010-07-22,Express Air,7.69,Oregon,125.99
0.669099095,Grants Pass,32,Matthew Berman,Corporate,0.06,1,2010-09-12,89203,Low,97526,0.56,Technology,Small Box,TimeportP7382,Telephones and Communication,2568.096,22,West,West,19355,3838.14,2010-09-19,Regular Air,8.99,Oregon,205.99
0.645251371,Grants Pass,32,Matthew Berman,Corporate,0.08,1,2011-10-06,89204,Critical,97526,0.39,Office Supplies,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper,85.8636,15,West,West,21213,133.07,2011-10-08,Regular Air,2.01,Oregon,8.95
0.159925831,Grants Pass,32,Matthew Berman,Corporate,0.06,1,2013-06-12,89207,High,97526,0.38,Technology,Jumbo Drum,Canon PC940 Copier,Copiers and Fax,345,5,West,West,22221,2157.25,2013-06-14,Delivery Truck,49,Oregon,449.99
-1.438950239,Gresham,33,Ricky Hensley,Corporate,0.03,1,2010-06-15,89201,Not Specified,97030,0.35,Office Supplies,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,Binders and Binder Accessories,-84.4376,13,West,West,23654,58.68,2010-06-17,Regular Air,5.41,Oregon,4.24
0.457853107,Gresham,33,Ricky Hensley,Corporate,0.04,1,2010-06-15,89201,Not Specified,97030,0.58,Office Supplies,Wrap Bag,Newell 338,Pens & Art Supplies,24.312,18,West,West,23655,53.1,2010-06-16,Regular Air,0.7,Oregon,2.94
-3.095248455,Gresham,33,Ricky Hensley,Corporate,0.05,1,2012-01-26,89205,Medium,97030,0.39,Office Supplies,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Binders and Binder Accessories,-75.12168,5,West,West,25327,24.27,2012-01-27,Regular Air,5.24,Oregon,4.82
-0.252976458,Gresham,33,Ricky Hensley,Corporate,0.05,1,2013-08-16,89208,Critical,97030,0.78,Furniture,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,Chairs & Chairmats,-162.15032,9,West,West,24531,640.97,2013-08-18,Delivery Truck,30,Oregon,70.98
-0.321523483,Gresham,33,Ricky Hensley,Corporate,0.05,1,2013-08-16,89208,Critical,97030,0.38,Office Supplies,Small Box,Staples Copy Paper (20Lb. and 84 Bright),Paper,-14.99264,9,West,West,24532,46.63,2013-08-18,Regular Air,4.7,Oregon,4.98
0.112179274,Gresham,35,Milton Bland,Small Business,0,1,2012-11-27,91256,Not Specified,97030,0.39,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,2396.87958,3,West,West,25223,21366.51,2012-11-28,Regular Air,24.49,Oregon,6783.02
0.419659203,Gresham,35,Milton Bland,Small Business,0.07,1,2013-05-28,91257,Low,97030,0.59,Technology,Small Box,StarTAC 7760,Telephones and Communication,165.501,7,West,West,21026,394.37,2013-06-02,Regular Air,3.99,Oregon,65.99
0.261682175,Hillsboro,36,Ray Morgan,Small Business,0.02,1,2012-11-27,91256,Not Specified,97123,0.38,Office Supplies,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,71.434,29,West,West,25224,272.98,2012-11-29,Express Air,4.39,Oregon,9.27
0.076547893,Hillsboro,36,Ray Morgan,Small Business,0.03,1,2012-11-27,91256,Not Specified,97123,0.37,Office Supplies,Small Box,Xerox 1968,Paper,5.650000000,10,West,West,25225,73.81,2012-11-29,Regular Air,6.15,Oregon,6.68
0.122543537,Keizer,37,Stacy Chandler,Small Business,0.1,1,2012-11-27,91256,Not Specified,97303,0.36,Office Supplies,Small Box,Xerox 1978,Paper,7.670000000,11,West,West,25226,62.59,2012-11-30,Regular Air,5.67,Oregon,5.78
